Date,Time,Operator,Flight_No,AC_Type,Registration,cn_ln,Ground,Decade,City,Country,US_State,Total_abroad,Passengers_abroad,Crew_abroad,Total_fatalities,Passengers_fatalities,Crew_fatalities,Source,Destination,Total_survivors,Passengers_survivors,Crew_survivors,Survival_rate,Type,Month,Day_of_week,Continent
2011-09-06,18:50:00,Aerocon,A4-238,Swearingen SA-227BC Metroliner III,CP-2548,BC-768B,0,2010,Near Trinidad,Bolivia,,9,7,2,8,6,2,Santa Cruz,"Trinidad, Bolivia",1,1,0,11.11111111111111,Passenger,September,Tuesday,South America
2011-09-02,17:48:00,Chilean Air Force,?,CASA C-212 Aviocar 300DF,966,443,0,2010,Juan Fernandez Island,Chile,,21,17,4,21,17,4,Santiago,Juan Fernandez Island,0,0,0,0.0,Passenger,September,Friday,South America
2011-08-26,19:00:00,LifeNet,?,Eurocopter AS350B2,N352LN,3728,0,2010,Mosby,United States of America,Missouri,4,3,1,4,3,1,Bethany,Mosby,0,0,0,0.0,Passenger,August,Friday,North America
2011-08-20,12:50:00,First Air,6560,Boeing B-737-210C(A) Combi,C-GNWN,21067/414,0,2010,"Resolute Bay,  Nunavut",Canada,,15,11,4,12,8,4,Yellowknife,Resolute Bay,3,3,0,20.0,Passenger,August,Saturday,North America
2011-08-09,14:34:00,Avis Amur,LN-9209,Antonov 12,RA-11125,3341006,0,2010,Near Omsukchan,Russia,,11,2,9,11,2,9,Magdan,Keperveem,0,0,0,0.0,Passenger,August,Tuesday,Europe
2011-08-06,,Military - U.S. Army,?,Boeing CH-47 Chinook,?,?,0,2010,Tangi Valley,Afghanistan,,38,,,38,,,,?,0,,,0.0,Military,August,Saturday,Asia
2011-07-28,04:12:00,Asiana Airlines,991,Boeing B-747-48EF,HL-7604,29907/1370,0,2010,Off Jeju,South Korea,,2,0,2,2,0,2,Seoul,Shanghai,0,0,0,0.0,Passenger,July,Thursday,Asia
2011-07-26,09:00:00,Military - Royal Moroccan Air Force,?,Lockheed C-130 Hercule,CNA-OQ,4892,0,2010,Near Guelmim,Morocco,,80,71,9,80,71,9,Dakhla - Guelmim,Kinitra,0,0,0,0.0,Military,July,Tuesday,Africa
2011-07-13,11:53:00,NOAR Linhas Aéreas,SP-5007,Let L-401UVP-20,PR-NOB,2722,0,2010,Recife,Brazil,,16,14,2,16,14,2,Recife,Natal,0,0,0,0.0,Passenger,July,Wednesday,South America
2011-07-11,11:55:00,Angara Airlines,5007,Antonov An-24RV,RA-47302,57310302,0,2010,Near Strezhevoy,Russia,,37,33,4,7,7,0,Tomsk,Surgut,30,26,4,81.08108108108108,Passenger,July,Monday,Europe
